序号,所用时间,1、你有计划/打算在大学生活中去培养一些艺术方面的爱好或者特长吗,2、你现在有艺术方面的爱好或者特长吗,3、如果你现在可以拿到任意一种乐器，你想玩儿什么,4、如果你现在拿到一种乐器，让你随意玩/探索，你会不知所措吗,5、如果现在你拿到了一张白纸，需要你随意画画，你会有画什么的想法吗,6、你会对什么形式或者类别的艺术活动产生冲动,7、您现在渴望抽出时间去参与艺术活动吗,8、你幻想过自己以某种艺术家的生活方式过日子吗,9、您的年级,10、您的专业类别,11、您的性别,12、你日常有什么与艺术相关的活动，休闲方式或小兴趣来调节你的状态
116,2243秒,有,有,我想玩〖吉他〗,不会,我想画〖杂志速写〗,会〖音乐，绘画〗,渴望,幻想过这种生活〖想一直画画〗,大二,非艺术类专业,女,画画和学弹吉他
117,76秒,有,有,我想玩〖钢琴〗,会,我想画〖人头〗,茫然,渴望,无,大三,艺术类专业,女,看展……
118,90秒,无,有,我想玩〖竖琴〗,不会,没有,会〖弹奏乐曲〗,不会,无,大一,非艺术类专业,女,听音乐
119,60秒,有,有,我想玩〖小提琴〗,不会,没有,会〖音乐会〗,渴望,无,大一,非艺术类专业,男,钢琴or吉他
120,57秒,有,无,我想玩〖钢琴〗,会,没有,会〖音乐会，画展，摄影展等等〗,渴望,无,大二,非艺术类专业,男,摄影
121,150秒,有,有,我想玩〖钢琴〗,不会,我想画〖卡通手帐〗,会〖舞蹈〗,渴望,无,大二,非艺术类专业,女,听歌，跳舞，摄影
122,289秒,有,有,我想玩〖大提琴〗,会,没有,会〖各种现场表演，包括且不限于livehouse?音乐节、话剧、音乐剧、歌剧〗,渴望,幻想过这种生活〖每天看展、创作〗,大二,非艺术类专业,女,看书看诗，音乐节，看话剧
123,82秒,有,无,我想玩〖吉他〗,不会,我想画〖火柴人〗,会〖纯音乐〗,渴望,无,大二,非艺术类专业,男,听歌
124,104秒,有,有,茫然,会,我想画〖随便画画〗,会〖音乐会〗,渴望,幻想过这种生活〖音乐家〗,大三,非艺术类专业,男,看电影
125,183秒,有,有,我想玩〖钢琴〗,会,没有,会〖音乐〗,渴望,无,大二,非艺术类专业,男,听古典，看名画
126,239秒,有,无,我想玩〖吉他〗,会,没有,会〖行为艺术〗,不会,无,大一,非艺术类专业,男,听一些小众歌曲
127,128秒,有,无,茫然,会,没有,茫然,不会,无,大二,非艺术类专业,男,听音乐、唱歌、用电脑自带的画图软件画画，看视频
128,106秒,有,有,我想玩〖小提琴〗,不会,我想画〖景〗,会〖视听类型〗,渴望,幻想过这种生活〖不敢深入幻想〗,大二,非艺术类专业,女,练字，看电影听英语，戏剧歌剧音乐会
129,131秒,有,有,茫然,会,没有,茫然,渴望,幻想过这种生活〖画家〗,大一,非艺术类专业,女,画画
130,108秒,有,无,我想玩〖吉他〗,不会,我想画〖内心深处的想法〗,会〖画展音乐会等〗,渴望,幻想过这种生活〖感知自然而不受生活的胁迫〗,大一,非艺术类专业,男,听古典音乐，欣赏名画
131,207秒,有,有,我想玩〖吉他〗,不会,我想画〖花〗,会〖舞蹈 唱歌 摄影 乐器〗,渴望,幻想过这种生活〖自由摄影师 舞者〗,大一,非艺术类专业,女,合唱团 街舞班
132,124秒,无,无,茫然,不会,没有,茫然,不会,无,大一,非艺术类专业,男,无
133,106秒,有,有,我想玩〖钢琴，吉他，小提琴〗,不会,我想画〖象征抽象主义〗,会〖文学，音乐，舞蹈〗,渴望,幻想过这种生活〖像吟游诗人一样自由，像音乐家一样浪漫〗,大一,非艺术类专业,男,写诗，听歌等
134,128秒,有,有,我想玩〖吉他，钢琴〗,不会,我想画〖人〗,会〖画画，音乐〗,渴望,幻想过这种生活〖自己的家要有艺术氛围，音乐与画，歌与诗行〗,大二,非艺术类专业,女,做手帐，听音乐，绘画
135,115秒,有,有,我想玩〖吉他〗,不会,我想画〖星空〗,会〖绘画    音乐〗,渴望,幻想过这种生活〖钢琴家〗,大二,非艺术类专业,男,"弹吉他
临摹
练字"
136,72秒,有,有,我想玩〖吉他〗,不会,没有,会〖音乐〗,渴望,无,大二,非艺术类专业,男,听音乐
137,173秒,有,有,我想玩〖吉他或者钢琴〗,会,我想画〖想记录一些我的日常〗,茫然,渴望,幻想过这种生活〖想过如果会画画好想画下每一个人〗,大一,非艺术类专业,女,会自学吉他
138,289秒,无,有,我想玩〖快板〗,会,没有,会〖曲艺（包括但不限于相声、京韵大鼓、梅花大鼓、单弦、岔曲、河南坠子、天津时调、联珠快书）、戏曲（主要是京剧）〗,不会,无,大一,非艺术类专业,男,"相声听曲艺并且在能力范围内学唱学说；
渴望有机会去天津或北京的相声剧场听现场。"
139,182秒,有,有,我想玩〖二胡〗,会,我想画〖学校街道的钢笔速写〗,会〖浸入式〗,渴望,幻想过这种生活〖那必然是工作时间自己决定〗,大二,非艺术类专业,女,绘画，欣赏绘画
140,221秒,有,有,我想玩〖钢琴〗,不会,我想画〖二次元〗,会〖音乐 魔术 绘画〗,渴望,幻想过这种生活〖音乐家〗,大二,非艺术类专业,男,作曲 弹琴 钻研纸牌魔术 画画
141,87秒,有,有,我想玩〖吉他〗,不会,我想画〖什么都想画〗,会〖绘画，音乐〗,渴望,幻想过这种生活〖作家或画家〗,大四以上,非艺术类专业,女,偶尔练习吉他
142,129秒,有,有,我想玩〖手风琴〗,不会,我想画〖美少女〗,会〖音乐剧快闪〗,渴望,幻想过这种生活〖不用996还可以做喜欢的事〗,大一,非艺术类专业,女,看音乐剧，偶尔练练很久没碰的乐器
